brand,average_price
1031,44.51
14k co.,174.39874999999998
180s,22.495
1883 by Wolverine,149.95
20-001707000,8.34
29 Porter Rd,40.120000000000005
2Bhip,47.7
32 Degrees,4.99
32north/Stabilicers,50.95
361 Degrees,90.0
3N2,62.8111111111111
3N2 Sports,70.39999999999999
3dRose,19.14
3dRose LLC,16.18
5.11 Tactical,72.41909090909091
500 LEVEL,50.0
7 For All Mankind,115.99333333333334
ADIDAS,42.0
AIR BALANCE,27.0
AIR JORDAN,295.9975
ALLEN EDMONDS,150.0
AMERICAN FIGHTER,48.0
AND1,40.593333333333334
ANDREW MARC,274.995
ASICS,90.67244680851063
ATB,5.99
Abercrombie Fitch,135.0
Acacia,23.056
Academie,50.37731707317074
Acorn,14.95
Adam Levine,22.49
Adamsbuilt Fishing,105.64
Adee Kaye,209.955
Adeyro,6.45
Adidas,93.80179487179487
Adidas Crazy 8 NY Knicks,59.99
Adidas Crazy1 Kobe BB shoes,59.99
Adolfo,34.964999999999996
Adtec,41.54
Aearo,150.12
Aeromax,77.65375
Aeropostale,36.644999999999996
Air Jordan,294.995
Aisun,51.98
Akadema,49.95
Aldo,78.70714285714287
Alessandro Monelli,38.995000000000005
Alexander McQueen By Puma,169.12666666666667
Alexanders,25.47
Alfani,26.357499999999998
Allen Edmonds,327.45
Alpine,62.98
Alpine Swiss,64.4487037037037
Alpinestars,57.33833333333333
Altra,80.0
Alvaro Planchart,232.84625
Alwin,45.14
American Coin,84.16
Ameta,8.25
AnaZoz,35.52
Anarchy,15.95
Andrew Marc,110.24249999999999
Andrew Stevens,39.99
Animal Peds,18.99
Apis Footwear,134.95
Arc'teryx,165.8225
Argyle Culture,4.25
Ariat,133.685
Armani Jeans,138.5
Arnette,82.47
Arrow,9.440000000000001
Ash City - North End,79.485
Asics,48.405
Aston Grey Collection,120.995
Athletech,14.489999999999998
Athletic Works,17.54
Attipas,30.9025
Augusta Sportswear,30.41
AvaCostume,14.989999999999998
Avia,32.63133333333334
Azzuro,43.75892857142857
BACKJOY,24.99
BAR III,45.9
BB126,58.99
BB195,50.870000000000005
BC Footwear,61.989999999999995
BLACKHAWK!,124.32300000000001
BLANK,124.49
BOC MENS,36.745
BOSS HUGO BOSS,102.0451724137931
BOSS MFG COMPANY,31.39
BOSTANTEN,78.978
BRAHMIN,149.99
BROWNING,15.966
BURBERRY,198.45736842105262
Bacco Bucci,169.64000000000001
BackSpacer,20.7
Bad Boy,63.843333333333334
Badger,15.03
Baffin,122.68222222222224
Baffin Inc,152.22666666666666
Baigio,108.59
Ballcap Buddy,6.94
Banded Gear,82.49
Bar III,59.24400000000001
Bata Shoe,46.14
Bates,122.27499999999999
Bearpaw,48.36071428571428
Beberlis,79.99
Becko,57.95
Bed Stu,189.995
Bedroom Athletics,28.9925
Belvedere,382.95
Ben Sherman,73.54400000000001
Benefit Wear,19.99
Bergmann,113.0
Berne Apparel,78.59045454545455
Bewild,29.99
Bgood,125.18567567567567
Bianchi,14.175
Bico,19.5
Big Accessories,13.105
Big Bear,6.97
Big Dogs,13.32
Bijou,593.08
Billabong,24.47
Billionaire Boys Club,136.0
Bills Khakis,80.0
Bioworld,39.99
Birkenstock,124.34375
Bishilin,27.200000000000003
Bisley Workwear,58.91
Blac Label,16.49
Black Butler,16.84
Blackbird,63.489999999999995
Blackhawk,54.6875
Blackstone,284.95
Bling Jewelry,14.190000000000001
Blundstone,143.12142857142857
Bobux,68.95
Bodek And Rhodes,70.45625
Body Glove,43.608
Bogs,82.515
Bokos,17.804117647058824
Boreal,159.0
Born,86.67714285714285
Boss Hugo Boss,376.594
Boston Harbour,69.99
Boston Traveler,43.99
Bostonian,51.61875
Boulet,260.0
Bradley Cradwell Inc,20.5625
Brahma,49.76
Breckelle's,44.485
Brinley Co.,39.99
Brioni,4185.075
Broken T,338.0
Brooks,66.245
Brunello Cucinelli,454.18999999999994
Bruno Magli,389.5
Buckle Rage,12.61
Buffalo David Bitton,84.01625
Bulova,82.495
Burk'S Bay,200.581
Bushnell,119.995
Bzees,57.58
B��rn,84.91666666666667
C1rca,26.99
CARHARTT,30.0
CARRERA,134.85
CAT,85.53999999999999
CATAPULT,24.99
CCILU,65.77333333333334
CET Domain,101.6575
CLC,28.575
COLUMBIA,99.98
COOLOMG,28.21
CORTECH,169.57333333333335
COSMAS JAVA,169.43
CTM,11.555
CUFFLINK INC,31.060000000000002
Cabela's,14.99
Calcutta,52.99
California Costume,31.27
California Costumes,31.716666666666665
Callaway,76.65666666666667
Calvin Klein,66.75823529411764
Calvin Klein Jeans,82.71000000000001
Canada Goose,451.25
Canada Weather Gear,156.994
Canvas Leather Bags,79.97307692307692
Captain Fin Co.,49.95
Care Apparel,15.99
Carhartt,30.194
Carhartt Carbondale by Pyramex Safety,222.99
Caribbean Joe,47.99
Carrera,114.21506493506493
Carroll Leather,19.59
Carve,73.01
Cashel,20.0
Casio,337.13
Castelli,19.49
Castle X Racewear,189.99
Cat Footwear,92.602
Caterpillar,112.04483870967742
Cestus,90.81958333333334
Chaco,112.22
ChalkTalkSPORTS,30.99
Challenger,1.59
Champ,5.75
Champion,22.9375
Chaps,7.49
Character,16.99
Charles By Charles David,61.495
Charles River Apparel,24.95
Chass��,14.89
Checkered Pattern Watch,24.405
Chevron Pattern Watch,22.99
Chinook Technical Outdoor,59.3125
Chippewa,192.3272727272727
Chocolat Blu,74.995
Chouinard,44.47
Christian Dior,355.0
Chrome,68.995
Chums,11.046904761904763
Cinch,162.4925
Circa Joan & David,41.43125
Citizen,623.4375
City Hunter,6.905
Claiborne,18.95
Clarks,64.73272727272727
Clorts,125.9975
Co7de,58.8
Coach,186.5025
Cobian,13.0
Cocoons,12.27
Coggs,11.5
Cold Front,36.57333333333334
Cole Haan,124.58294117647058
Coleman,75.12083333333332
Coleman Stearns,84.285
Columbia,72.179375
Comfy Feet,26.304285714285715
Complete Medical,16.83666666666667
Concepts Sports,24.99
Conch Umbrellas,21.09
Converse,52.60673611111111
Coogi,33.32666666666666
Coool,5.25
Cordova Safety Products,97.35
Corneliani,400.0
Corona,24.95
Corona Tools,9.98
Coronado,39.95
Costa,197.95
Costa Del Mar,166.03555555555556
Covington,7.1625
Covona,6.95
Craft,25.52
Craftsman,28.71125
Creative Recreation,69.7486842105263
Crevo,69.71000000000001
Croakies,7.475
Crocs,36.864375
Crooks Castles,75.495
Crucible,30.4
Cubavera,10.94
Cudas,25.0
Cudas Footwear,22.49
Cufflink Aficionado,125.0
Cushe,32.48727272727273
Custom Leathercraft,27.63416666666667
Customised_Perfection,33.49
CuteMe,13.82
Cycleur de Luxe,98.99333333333334
D555,25.95
DANIEL WELLINGTON,125.901
DAWGS,17.240000000000002
DC,51.121818181818185
DDI,289.5411111111111
DDSOL,34.495
DESMIIT,9.84
DGK,9.98
DIM,27.29
DOCKERS,28.11076923076923
DRAGON,117.0
DREW,100.0
Dabuyu,49.99
Daily Charms,2.99
Dakine,35.69
Damascus,26.25
Dan Post,228.08222222222219
Dan Post Boots,299.95
Daniel Wellington,65.0
Danner,130.27454545454546
Dapper World,16.99
Darn Tough,16.95
Daxx,30.48944444444444
Ddi,455.5683333333333
DeMarini,14.95
DeadStockSunglasses,9.99
Dearfoams,20.618823529411763
Deer Stags,37.37428571428571
Defeet,46.754999999999995
Deli Aldo,47.985
Deluxe Comfort,24.95
Denim & Supply Ralph Lauren,47.065
Design By Humans,48.375
Designer,149.99
Despicable Me 2,45.102
Devon & Jones,23.997142857142858
Dexter,148.013
Diamond Rubber,49.89
Diamondback,41.31428571428571
Diamondback Fitness,39.27
Dickies,36.07345679012345
DieHard,70.0
Diesel Black Gold,204.995
Dije,48.9
Dije California,14.99
Dirty Dog,59.99
Disguise Costumes,26.55
Disney,25.0
Dockers,37.05789473684211
Dolce & Gabbana,115.56833333333333
Dolce Gabbana,160.84230769230768
Dolce e Gabbana,165.0
Dolomite,74.81411764705882
Donald J Pliner,322.245
Dr. Martens,107.62818181818182
Dr. Martens Air Wair,104.99
Dr. Martens Work,125.0
Dr. Scholl's,43.3603125
Dragon,156.2111111111111
DragonBall Z,54.0
Dreamgirl,1.0
Dressdown,29.546666666666667
Drew,155.63
Dunlop,49.99
Dupont,158.20166666666668
Durango,124.40666666666665
Dvs,49.11611111111111
Dyed,16.266666666666666
E2 Sport Balance,36.0
EAMES,56.32
ECCO,125.03909090909089
EDDIE BAUER,99.99
ELLIE SHOES,59.46
ENVIROGUARD,77.86
ERGOMATES,31.34
ESCAPE,41.666666666666664
Eastland,63.558125000000004
Easy USA,139.0411111111111
Ecco,149.995
Ecosusi,48.815
Eddy Bros.,233.64166666666665
Edwards,59.830000000000005
El Naturalista,161.34909090909093
Elasta,98.828
Electric,111.73066666666666
Electric Visual,137.655
Ellie Shoes,42.845
Elvis Presley,36.45
Embassy,43.870000000000005
Emerica,43.99
Empire,16.95
Emporio Armani,128.64666666666668
Emporio Armani EA7,177.0
Epinki,27.884999999999998
Ermenegildo Zegna,408.33
Estwing,26.9675
Etnies,45.787
Evelots,8.49
Everlastreg,9.566666666666668
Evolatree,23.49
Excell,25.99
Exposure Project,29.99
Extreme Storm,17.0
Exustar,96.83
FLIZZARDS,26.95
FORUM NOVELTIES,39.99
FQ,7.88
FUBU,14.99
FUN WORLD,34.656666666666666
Faconnable,145.99333333333334
Faded Glory,17.36625
Fallen,39.95
Famous Maker,39.774
Fantasyard,22.99
Farts Candy,36.45
Fat Doxie,37.49
Ferrari,266.401875
Ferrini,275.7918181818182
Ferro Aldo,50.835
Fila,46.921470588235294
Fila Work,39.99
Filament,32.82666666666667
Filson,181.66
Fire Dex,516.7216666666667
Firefly,79.99
Fireside Casuals,23.814999999999998
FitFlop.,59.49
Fitflop,108.70176470588235
Five Ten,90.83333333333333
Flojos,33.64666666666667
Florsheim,71.41571428571429
FootJoy,336.848
Forever Collectible,20.99
Forever Collectibles,41.06999999999999
Forum Novelties,31.736428571428572
Fossa Apparel,77.62222222222222
Foundry,19.49
Fox Outdoor,10.254999999999999
Fox Outdoor Products,41.94
Frabill,158.9725
FrenchChimp,16.502499999999998
Frontier Natural Foods,45.895
Fruit of the Loom,28.594
Frye,152.1357142857143
Fuel,10.98
